Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
0,0,"Dr. Facilier - Remarkable Gentleman",001,39,Amethyst,Rare,"€0.26","€0.88"
4,0,"Elsa - Queen Regent",001,40,Amethyst,Common,"€0.11","€0.41"
1,0,"Elsa - Snow Queen",001,41,Amethyst,Uncommon,"€0.17","€1.00"
0,0,"Elsa - Spirit of Winter",001,42,Amethyst,Legendary,"€19.04","€53.38"
1,0,"Flotsam - Ursula's Spy",001,43,Amethyst,Rare,"€0.12","€1.11"
1,0,"Jafar - Keeper of Secrets",001,44,Amethyst,Rare,"€0.35","€1.63"
4,0,"Jafar - Wicked Sorcerer",001,45,Amethyst,Common,"€0.11","€0.25"
3,0,"Jetsam - Ursula's Spy",001,46,Amethyst,Common,"€0.11","€0.33"
4,0,"Magic Broom - Bucket Brigade",001,47,Amethyst,Common,"€0.11","€0.41"
0,0,"Maleficent - Biding Her Time",001,48,Amethyst,Rare,"€4.17","€7.25"
4,1,"Maleficent - Sorceress",001,49,Amethyst,Common,"€0.19","€0.70"
1,0,"Marshmallow - Persistent Guardian",001,50,Amethyst,Super Rare,"€0.21","€1.12"
0,1,"Mickey Mouse - Wayward Sorcerer",001,51,Amethyst,Super Rare,"€0.88","€0.96"
4,0,"Olaf - Friendly Snowman",001,52,Amethyst,Uncommon,"€0.17","€1.63"
3,0,"Pascal - Rapunzel's Companion",001,53,Amethyst,Uncommon,"€0.16","€1.63"
3,0,"Rafiki - Mysterious Sage",001,54,Amethyst,Uncommon,"€0.11","€0.29"
2,0,"Sven - Official Ice Deliverer",001,55,Amethyst,Uncommon,"€0.11","€0.49"
0,0,"The Queen - Wicked and Vain",001,56,Amethyst,Super Rare,"€0.29","€1.37"
4,0,"The Wardrobe - Belle's Confidant",001,57,Amethyst,Common,"€0.11","€0.24"
0,0,"Tinker Bell - Peter Pan's Ally",001,58,Amethyst,Common,"€0.11","€0.34"
1,0,"Ursula - Power Hungry",001,59,Amethyst,Legendary,"€2.89","€12.90"
4,0,"Yzma - Alchemist",001,60,Amethyst,Common,"€0.11","€0.24"
1,0,"Zeus - God of Lightning",001,61,Amethyst,Rare,"€0.30","€1.12"
3,0,"Befuddle",001,62,Amethyst,Uncommon,"€0.68","€3.40"
7,0,"Freeze",001,63,Amethyst,Common,"€0.08","€0.26"
5,0,"Friends on the Other Side",001,64,Amethyst,Common,"€0.20","€4.11"
0,0,"Reflection",001,65,Amethyst,Uncommon,"€0.14","€0.54"
1,0,"Magic Mirror",001,66,Amethyst,Rare,"€0.12","€1.12"
2,0,"Ursula's Cauldron",001,67,Amethyst,Uncommon,"€0.17","€0.46"
0,1,"White Rabbit's Pocket Watch",001,68,Amethyst,Rare,"€0.34","€1.37"
3,0,"Aladdin - Prince Ali",001,69,Emerald,Common,"€0.10","€0.31"
0,0,"Beast - Wolfsbane",001,70,Emerald,Legendary,"€3.09","€13.91"
2,0,"Cheshire Cat - Not All There",001,71,Emerald,Uncommon,"€0.26","€0.46"
0,1,"Cruella De Vil - Miserable as Usual",001,72,Emerald,Rare,"€0.12","€0.25"
4,0,"Duke of Weselton - Opportunistic Official",001,73,Emerald,Common,"€0.09","€0.26"
0,0,"Flynn Rider - Charming Rogue",001,74,Emerald,Uncommon,"€0.52","€1.66"
0,0,"Genie - On the Job",001,75,Emerald,Super Rare,"€0.64","€4.61"
1,0,"Genie - Powers Unleashed",001,76,Emerald,Rare,"€0.12","€1.12"
1,0,"Genie - The Ever Impressive",001,77,Emerald,Common,"€0.11","€0.32"
0,0,"Hans - Scheming Prince",001,78,Emerald,Rare,"€0.42","€1.37"
5,0,"Horace - No-Good Scoundrel",001,79,Emerald,Common,"€0.09","€0.33"
1,0,"Iago - Loud-Mouthed Parrot",001,80,Emerald,Rare,"€0.12","€0.50"
3,0,"Jasper - Common Crook",001,81,Emerald,Uncommon,"€0.09","€0.46"
1,0,"John Silver - Alien Pirate",001,82,Emerald,Legendary,"€2.89","€22.40"
1,0,"Jumba Jookiba - Renegade Scientist",001,83,Emerald,Uncommon,"€0.14","€0.46"
1,0,"Kuzco - Temperamental Emperor",001,84,Emerald,Rare,"€0.33","€1.27"
1,0,"Lady Tremaine - Wicked Stepmother",001,85,Emerald,Rare,"€0.21","€1.12"
5,0,"Mad Hatter - Gracious Host",001,86,Emerald,Uncommon,"€0.09","€0.46"
5,0,"Megara - Pulling the Strings",001,87,Emerald,Common,"€0.09","€0.23"
1,0,"Mickey Mouse - Artful Rogue",001,88,Emerald,Super Rare,"€0.35","€2.13"
4,0,"Mickey Mouse - Steamboat Pilot",001,89,Emerald,Common,"€0.11","€0.34"
0,0,"Mother Gothel - Selfish Manipulator",001,90,Emerald,Super Rare,"€0.33","€1.10"
4,0,"Peter Pan - Never Landing",001,91,Emerald,Common,"€0.09","€0.14"
1,0,"Tamatoa - Drab Little Crab",001,92,Emerald,Uncommon,"€0.11","€0.63"
2,1,"Tinker Bell - Most Helpful",001,93,Emerald,Common,"€0.11","€0.34"
0,0,"Do It Again!",001,94,Emerald,Rare,"€0.33","€1.36"
4,0,"Mother Knows Best",001,95,Emerald,Uncommon,"€0.11","€1.88"
3,0,"Stampede",001,96,Emerald,Common,"€0.10","€0.24"
1,0,"Steal from the Rich",001,97,Emerald,Rare,"€0.12","€0.90"
1,0,"Sudden Chill",001,98,Emerald,Common,"€0.24","€1.29"
2,0,"The Beast is Mine!",001,99,Emerald,Uncommon,"€0.11","€0.56"
4,0,"Vicious Betrayal",001,100,Emerald,Common,"€0.09","€0.20"
0,0,"Dr. Facilier's Cards",001,101,Emerald,Uncommon,"€0.14","€0.45"
4,0,"Stolen Scimitar",001,102,Emerald,Common,"€0.10","€0.19"
1,1,"Abu - Mischievous Monkey",001,103,Ruby,Common,"€0.12","€0.32"
1,1,"Aladdin - Heroic Outlaw",001,104,Ruby,Super Rare,"€0.20","€0.20"
5,0,"Aladdin - Street Rat",001,105,Ruby,Common,"€0.09","€0.19"
2,0,"Captain - Colonel's Lieutenant",001,106,Ruby,Uncommon,"€0.09","€0.25"
1,0,"Captain Hook - Ruthless Pirate",001,107,Ruby,Rare,"€0.15","€1.37"
2,0,"Donald Duck - Boisterous Fowl",001,108,Ruby,Uncommon,"€0.11","€0.53"
2,0,"Elsa - Ice Surfer",001,109,Ruby,Common,"€0.11","€0.33"
2,0,"Gaston - Arrogant Hunter",001,110,Ruby,Common,"€0.11","€0.46"
1,0,"Goofy - Daredevil",001,111,Ruby,Common,"€0.11","€0.27"
2,0,"LeFou - Instigator",001,112,Ruby,Rare,"€0.24","€3.15"
0,0,"Maleficent - Monstrous Dragon",001,113,Ruby,Legendary,"€22.73","€122.28"
0,0,"Maui - Hero to All",001,114,Ruby,Rare,"€10.29","€17.02"
2,0,"Mickey Mouse - Brave Little Tailor",001,115,Ruby,Legendary,"€4.69","€34.00"
3,0,"Minnie Mouse - Always Classy",001,116,Ruby,Common,"€0.11","€0.46"
1,0,"Moana - Chosen by the Ocean",001,117,Ruby,Uncommon,"€0.13","€0.46"
1,1,"Mulan - Imperial Soldier",001,118,Ruby,Super Rare,"€0.35","€0.58"
2,0,"Peter Pan - Fearless Fighter",001,119,Ruby,Common,"€0.11","€0.15"
4,0,"Pongo - Ol' Rascal",001,120,Ruby,Common,"€0.09","€0.20"
4,0,"Rapunzel - Letting Down Her Hair",001,121,Ruby,Uncommon,"€0.09","€0.61"
3,0,"Scar - Fiery Usurper",001,122,Ruby,Common,"€0.09","€0.17"
0,0,"Scar - Shameless Firebrand",001,123,Ruby,Rare,"€0.12","€1.52"
4,0,"Sergeant Tibbs - Courageous Cat",001,124,Ruby,Common,"€0.09","€0.20"
1,0,"Stitch - Abomination",001,125,Ruby,Rare,"€0.14","€1.12"
0,0,"Te Kā - The Burning One",001,126,Ruby,Super Rare,"€0.12","€0.89"
2,0,"Tigger - Wonderful Thing",001,127,Ruby,Uncommon,"€0.14","€0.46"
3,0,"Be Prepared",001,128,Ruby,Rare,"€12.40","€28.81"
1,0,"Cut to the Chase",001,129,Ruby,Uncommon,"€0.11","€0.46"
6,0,"Dragon Fire",001,130,Ruby,Uncommon,"€0.19","€0.46"
3,0,"Fan the Flames",001,131,Ruby,Uncommon,"€0.17","€0.60"
5,0,"He's Got a Sword!",001,132,Ruby,Common,"€0.09","€0.16"
1,0,"Tangle",001,133,Ruby,Common,"€0.12","€0.20"
1,0,"Poisoned Apple",001,134,Ruby,Rare,"€0.34","€1.37"
3,0,"Shield of Virtue",001,135,Ruby,Uncommon,"€0.11","€0.75"
1,0,"Sword of Truth",001,136,Ruby,Rare,"€0.21","€0.97"
1,0,"Ariel - Whoseit Collector",001,137,Sapphire,Rare,"€0.26","€1.63"
2,0,"Aurora - Briar Rose",001,138,Sapphire,Common,"€0.11","€0.24"
1,0,"Aurora - Dreaming Guardian",001,139,Sapphire,Super Rare,"€0.52","€0.62"
0,0,"Aurora - Regal Princess",001,140,Sapphire,Uncommon,"€0.11","€0.46"
1,0,"Belle - Inventive Engineer",001,141,Sapphire,Uncommon,"€0.14","€0.60"
1,0,"Belle - Strange but Special",001,142,Sapphire,Legendary,"€13.65","€35.01"
2,1,"Chief Tui - Respected Leader",001,143,Sapphire,Uncommon,"€0.14","€0.46"
1,0,"Donald Duck - Strutting His Stuff",001,144,Sapphire,Common,"€0.11","€0.25"
4,0,"Flounder - Voice of Reason",001,145,Sapphire,Common,"€0.11","€0.25"
0,0,"Gramma Tala - Storyteller",001,146,Sapphire,Uncommon,"€0.13","€1.00"
2,0,"Hades - Infernal Schemer",001,147,Sapphire,Legendary,"€15.21","€43.75"
2,0,"Jasmine - Disguised",001,148,Sapphire,Common,"€0.12","€0.31"
0,0,"Jasmine - Queen of Agrabah",001,149,Sapphire,Rare,"€0.46","€2.17"
2,0,"Maleficent - Sinister Visitor",001,150,Sapphire,Common,"€0.11","€0.15"
1,0,"Maleficent - Uninvited",001,151,Sapphire,Rare,"€0.12","€1.06"
0,0,"Maurice - World-Famous Inventor",001,152,Sapphire,Rare,"€0.33","€1.20"
1,1,"Merlin - Self-Appointed Mentor",001,153,Sapphire,Common,"€0.12","€0.12"
1,0,"Mickey Mouse - Detective",001,154,Sapphire,Common,"€0.11","€0.58"
0,0,"Mufasa - King of the Pride Lands",001,155,Sapphire,Common,"€0.12","€0.20"
2,1,"Philoctetes - Trainer of Heroes",001,156,Sapphire,Common,"€0.11","€0.28"
0,0,"Robin Hood - Unrivaled Archer",001,157,Sapphire,Super Rare,"€0.53","€2.13"
0,0,"Scar - Mastermind",001,158,Sapphire,Rare,"€0.12","€0.85"
2,0,"Tamatoa - So Shiny!",001,159,Sapphire,Super Rare,"€9.60","€17.38"
0,0,"Triton - The Sea King",001,160,Sapphire,Uncommon,"€0.11","€0.32"
4,0,"Develop Your Brain",001,161,Sapphire,Common,"€0.14","€1.70"
0,1,"If it's Not Baroque",001,162,Sapphire,Rare,"€0.24","€0.97"
1,0,"Let it Go",001,163,Sapphire,Rare,"€3.66","€7.22"
2,0,"One Jump Ahead",001,164,Sapphire,Uncommon,"€0.23","€2.93"
2,0,"Work Together",001,165,Sapphire,Common,"€0.11","€0.23"
0,0,"Coconut Basket",001,166,Sapphire,Uncommon,"€0.11","€0.34"
2,0,"Eye of the Fates",001,167,Sapphire,Uncommon,"€0.11","€0.40"
1,0,"Fishbone Quill",001,168,Sapphire,Rare,"€6.58","€15.76"
2,0,"Magic Golden Flower",001,169,Sapphire,Common,"€0.11","€0.24"
2,0,"Scepter of Arendelle",001,170,Sapphire,Uncommon,"€0.17","€0.76"
1,0,"Aladdin - Cornered Swordsman",001,171,Steel,Common,"€0.11","€0.25"
1,0,"Beast - Hardheaded",001,172,Steel,Uncommon,"€0.11","€0.68"
1,0,"Captain Hook - Captain of the Jolly Roger",001,173,Steel,Rare,"€0.33","€1.28"
0,0,"Captain Hook - Forceful Duelist",001,174,Steel,Common,"€0.11","€1.60"
0,0,"Captain Hook - Thinking a Happy Thought",001,175,Steel,Rare,"€0.36","€1.40"
2,0,"Cerberus - Three-Headed Dog",001,176,Steel,Common,"€0.11","€0.23"
0,0,"Donald Duck - Musketeer",001,177,Steel,Uncommon,"€0.17","€0.60"
0,0,"Gantu - Galactic Federation Captain",001,178,Steel,Legendary,"€2.07","€11.71"
2,0,"Goons - Maleficent's Underlings",001,179,Steel,Common,"€0.10","€0.29"
0,0,"Hans - Thirteenth in Line",001,180,Steel,Super Rare,"€0.52","€1.63"
2,0,"Hercules - True Hero",001,181,Steel,Common,"€0.11","€0.34"
2,0,"Kristoff - Official Ice Master",001,182,Steel,Common,"€0.11","€0.23"
0,0,"Kronk - Right-Hand Man",001,183,Steel,Uncommon,"€0.11","€0.41"
6,0,"Lilo - Galactic Hero",001,184,Steel,Uncommon,"€0.08","€0.45"
1,1,"Maui - Demigod",001,185,Steel,Rare,"€0.12","€0.87"
0,0,"Mickey Mouse - Musketeer",001,186,Steel,Rare,"€0.21","€2.06"
6,0,"Prince Eric - Dashing and Brave",001,187,Steel,Common,"€0.07","€0.20"
3,0,"Simba - Future King",001,188,Steel,Common,"€0.11","€0.85"
1,0,"Simba - Returned King",001,189,Steel,Rare,"€0.23","€0.34"
3,0,"Simba - Rightful Heir",001,190,Steel,Uncommon,"€0.11","€0.61"
1,1,"Starkey - Hook's Henchman",001,191,Steel,Uncommon,"€0.13","€0.46"
0,0,"Te Kā - Heartless",001,192,Steel,Legendary,"€2.13","€11.37"
2,0,"Tinker Bell - Giant Fairy",001,193,Steel,Super Rare,"€8.53","€16.02"
1,0,"Tinker Bell - Tiny Tactician",001,194,Steel,Common,"€0.11","€0.64"
1,1,"A Whole New World",001,195,Steel,Super Rare,"€10.80","€19.55"
2,0,"Break",001,196,Steel,Common,"€0.11","€0.17"
1,0,"Fire the Cannons!",001,197,Steel,Common,"€0.17","€1.17"
2,0,"Grab Your Sword",001,198,Steel,Rare,"€1.28","€8.27"
1,0,"Ransack",001,199,Steel,Uncommon,"€0.11","€0.34"
2,0,"Smash",001,200,Steel,Uncommon,"€0.24","€1.35"
0,0,"Beast's Mirror",001,201,Steel,Common,"€0.11","€0.20"
2,0,"Frying Pan",001,202,Steel,Uncommon,"€0.11","€0.32"
1,0,"Musketeer Tabard",001,203,Steel,Rare,"€0.35","€0.95"
0,0,"Plasma Blaster",001,204,Steel,Rare,"€0.34","€1.12"
0,0,"Hades - King of Olympus",001,205,Amber,Enchanted,"€83.79","€83.79"
0,0,"Stitch - Carefree Surfer",001,206,Amber,Enchanted,"€386.20","€386.20"
0,0,"Elsa - Spirit of Winter",001,207,Amethyst,Enchanted,"€1,013.86","€1,013.86"
0,0,"Mickey Mouse - Wayward Sorcerer",001,208,Amethyst,Enchanted,"€157.75","€157.75"
0,0,"Genie - On the Job",001,209,Emerald,Enchanted,"€133.07","€133.07"
0,0,"Mickey Mouse - Artful Rogue",001,210,Emerald,Enchanted,"€110.64","€110.64"
0,0,"Aladdin - Heroic Outlaw",001,211,Ruby,Enchanted,"€102.03","€102.03"
0,0,"Maui - Hero to All",001,212,Ruby,Enchanted,"€253.98","€253.98"
0,0,"Aurora - Dreaming Guardian",001,213,Sapphire,Enchanted,"€190.63","€190.63"
0,0,"Belle - Strange but Special",001,214,Sapphire,Enchanted,"€299.64","€299.64"
0,0,"Simba - Returned King",001,215,Steel,Enchanted,"€200.59","€200.59"
0,0,"Tinker Bell - Giant Fairy",001,216,Steel,Enchanted,"€294.46","€294.46"
0,0,"Mickey Mouse - Brave Little Tailor",P1,P1,Ruby,Promo,"€1,419.17",
0,0,"Stitch - Rock Star",P1,P2,Amber,Promo,,
0,0,"Elsa - Snow Queen",P1,P3,Amethyst,Promo,,
0,0,"Cruella de Vil - Miserable As Usual",P1,P4,Emerald,Promo,,
0,0,"Maleficent - Monstrous Dragon",P1,P5,Ruby,Promo,,
0,0,"Robin Hood - Unrivaled Archer",P1,P6,Sapphire,Promo,,
0,0,"Captain Hook - Forceful Duelist",P1,P7,Steel,Promo,,
0,0,"Mickey Mouse - Detective",P1,P8,Sapphire,Promo,"€6.49","€6.49"
0,0,"Heihei - Boat Snack",P1,P9,Amber,Promo,"€4.06","€4.06"
0,0,"Yzma - Alchemist",P1,P10,Amethyst,Promo,"€2.13","€2.13"
0,0,"Mickey Mouse - Musketeer",P1,P11,Steel,Promo,"€130.59",
0,0,"Goofy - Musketeer",P1,P12,Amber,Promo,"€43.59",
0,0,"Donald Duck - Musketeer",P1,P13,Steel,Promo,"€59.96",
2,0,"Bashful - Hopeless Romantic",002,1,Amber,Uncommon,"€0.06","€0.40"
1,0,"Christopher Robin - Adventurer",002,2,Amber,Rare,"€0.14","€0.26"
3,0,"Cinderella - Ballroom Sensation",002,3,Amber,Rare,"€4.67","€7.23"
1,0,"Cobra Bubbles - Just a Social Worker",002,4,Amber,Rare,"€0.12","€0.51"
3,0,"Doc - Leader of the Seven Dwarfs",002,5,Amber,Uncommon,"€0.19","€0.59"
1,1,"Dopey - Always Playful",002,6,Amber,Uncommon,"€0.06","€0.38"
4,0,"Eudora - Accomplished Seamstress",002,7,Amber,Common,"€0.11","€0.14"
0,0,"Gaston - Baritone Bully",002,8,Amber,Uncommon,"€0.06","€0.52"
1,0,"Grand Duke - Advisor to the King",002,9,Amber,Rare,"€0.15","€0.20"
2,1,"Grumpy - Bad-Tempered",002,10,Amber,Common,"€0.05","€0.12"
2,0,"Happy - Good-Natured",002,11,Amber,Common,"€0.05","€0.12"
1,0,"King Louie - Jungle VIP",002,12,Amber,Super Rare,"€0.11","€0.20"
0,0,"Mickey Mouse - Friendly Face",002,13,Amber,Super Rare,"€0.12","€0.91"
0,0,"Mufasa - Betrayed Leader",002,14,Amber,Legendary,"€9.59","€26.79"
3,0,"Mulan - Free Spirit",002,15,Amber,Common,"€0.12","€0.12"
1,0,"Mulan - Reflecting",002,16,Amber,Rare,"€0.34","€1.20"
4,0,"Nana - Darling Family Pet",002,17,Amber,Uncommon,"€0.11","€0.21"
2,0,"Piglet - Very Small Animal",002,18,Amber,Common,"€0.11","€0.14"
1,0,"Rapunzel - Gifted Artist",002,19,Amber,Uncommon,"€0.13","€0.71"
2,0,"Rapunzel - Sunshine",002,20,Amber,Common,"€0.11","€0.26"
4,0,"Sleepy - Nodding Off",002,21,Amber,Common,"€0.05","€0.30"
3,0,"Sneezy - Very Allergic",002,22,Amber,Common,"€0.05","€0.24"
5,0,"Snow White - Lost in the Forest",002,23,Amber,Common,"€0.09","€0.22"
2,0,"Snow White - Unexpected Houseguest",002,24,Amber,Uncommon,"€0.24","€0.55"
1,0,"Snow White - Well Wisher",002,25,Amber,Legendary,"€2.89","€10.88"
1,1,"The Queen - Commanding Presence",002,26,Amber,Super Rare,"€0.65","€1.11"
2,0,"The Queen - Regal Monarch",002,27,Amber,Common,"€0.11","€0.59"
3,1,"Hold Still",002,28,Amber,Common,"€0.12","€0.12"
3,0,"Last Stand",002,29,Amber,Uncommon,"€0.11","€0.23"
3,0,"Painting the Roses Red",002,30,Amber,Common,"€0.11","€0.14"
1,0,"World's Greatest Criminal Mind",002,31,Amber,Rare,"€0.59","€1.49"
1,0,"Zero to Hero",002,32,Amber,Uncommon,"€0.14","€0.59"
0,0,"Dragon Gem",002,33,Amber,Rare,"€0.12","€0.18"
0,0,"Sleepy's Flute",002,34,Amber,Rare,"€0.58","€1.20"
1,0,"Arthur - Wizard's Apprentice",002,35,Amethyst,Super Rare,"€0.78","€1.66"
2,0,"Blue Fairy - Rewarding Good Deeds",002,36,Amethyst,Uncommon,"€0.20","€0.55"
9,0,"Chip the Teacup - Gentle Soul",002,37,Amethyst,Common,"€0.08","€0.15"
6,0,"Dr. Facilier - Savvy Opportunist",002,38,Amethyst,Common,"€0.07","€0.15"
3,0,"Elsa - Gloves Off",002,39,Amethyst,Common,"€0.11","€0.21"
0,0,"Fairy Godmother - Here to Help",002,40,Amethyst,Uncommon,"€0.12","€0.26"
1,0,"Fairy Godmother - Mystic Armorer",002,41,Amethyst,Legendary,"€3.40","€8.78"
2,0,"Fairy Godmother - Pure Heart",002,42,Amethyst,Common,"€0.11","€0.18"
9,0,"HeiHei - Persistent Presence",002,43,Amethyst,Uncommon,"€0.08","€0.34"
3,0,"Jiminy Cricket - Pinocchio's Conscience",002,44,Amethyst,Common,"€0.11","€0.20"
9,0,"Kuzco - Wanted Llama",002,45,Amethyst,Common,"€0.12","€0.12"
5,0,"Madam Mim - Fox",002,46,Amethyst,Rare,"€4.15","€19.72"
0,0,"Madam Mim - Purple Dragon",002,47,Amethyst,Legendary,"€2.89","€9.28"
0,0,"Madam Mim - Rival of Merlin",002,48,Amethyst,Rare,"€0.12","€0.91"
7,0,"Madam Mim - Snake",002,49,Amethyst,Uncommon,"€0.24","€6.64"
8,0,"Merlin - Crab",002,50,Amethyst,Common,"€0.17","€2.05"
8,0,"Merlin - Goat",002,51,Amethyst,Uncommon,"€0.34","€9.10"
3,0,"Merlin - Rabbit",002,52,Amethyst,Rare,"€1.52","€20.17"
1,2,"Merlin - Shapeshifter",002,53,Amethyst,Rare,"€0.12","€0.20"
6,0,"Merlin - Squirrel",002,54,Amethyst,Common,"€0.08","€0.12"
0,0,"Peter Pan's Shadow - Not Sewn On",002,55,Amethyst,Super Rare,"€0.37","€1.35"
1,0,"Pinocchio - Star Attraction",002,56,Amethyst,Rare,"€1.17","€2.51"
1,1,"Pinocchio - On the Run",002,57,Amethyst,Uncommon,"€0.11","€0.24"
5,0,"Pinocchio - Talkative Puppet",002,58,Amethyst,Uncommon,"€0.20","€0.78"
3,1,"Winnie the Pooh - Hunny Wizard",002,59,Amethyst,Common,"€0.11","€0.59"
1,0,"Yzma - Scary Beyond All Reason",002,60,Amethyst,Super Rare,"€0.23","€2.02"
3,0,"Yzma - Without Beauty Sleep",002,61,Amethyst,Uncommon,"€0.11","€0.24"
1,0,"Gruesome and Grim",002,62,Amethyst,Rare,"€0.12","€0.35"
7,0,"I'm Stuck!",002,63,Amethyst,Common,"€0.08","€0.12"
3,0,"Legend of the Sword in the Stone",002,64,Amethyst,Common,"€0.11","€0.11"
3,0,"Binding Contract",002,65,Amethyst,Uncommon,"€0.12","€0.12"
3,0,"Croquet Mallet",002,66,Amethyst,Common,"€0.11","€0.14"
1,0,"Perplexing Signposts",002,67,Amethyst,Rare,"€0.12","€0.35"
1,0,"The Sorcerer's Spellbook",002,68,Amethyst,Rare,"€0.20","€1.42"
2,0,"Arthur - Trained Swordsman",002,69,Emerald,Common,"€0.11","€0.14"
0,0,"Beast - Relentless",002,70,Emerald,Legendary,"€5.19","€12.40"
1,0,"Belle - Bookworm",002,71,Emerald,Uncommon,"€0.14","€0.18"
1,0,"Belle - Hidden Archer",002,72,Emerald,Legendary,"€6.36","€20.35"
1,3,"Bucky - Squirrel Squeak Tutor",002,73,Emerald,Uncommon,"€0.17","€0.71"
2,0,"Cheshire Cat - Always Grinning",002,74,Emerald,Uncommon,"€0.14","€0.29"
1,1,"Cheshire Cat - From the Shadows",002,75,Emerald,Super Rare,"€0.12","€1.10"
0,0,"Daisy Duck - Secret Agent",002,76,Emerald,Uncommon,"€0.21","€0.24"
1,0,"Donald Duck - Perfect Gentleman",002,77,Emerald,Uncommon,"€0.19","€0.35"
3,0,"Donald Duck - Sleepwalker",002,78,Emerald,Common,"€0.11","€0.22"
0,0,"Dr. Facilier - Fortune Teller",002,79,Emerald,Super Rare,"€0.12","€0.77"
4,0,"Enchantress - Unexpected Judge",002,80,Emerald,Common,"€0.12","€0.21"
2,0,"Flynn Rider - Confident Vagabond",002,81,Emerald,Common,"€0.12","€0.12"
1,1,"Flynn Rider - His Own Biggest Fan",002,82,Emerald,Rare,"€0.50","€0.97"
3,1,"Gaston - Scheming Suitor",002,83,Emerald,Common,"€0.12","€0.12"
1,0,"Little John - Loyal Friend",002,84,Emerald,Rare,"€0.12","€0.46"
0,1,"Lucifer - Cunning Cat",002,85,Emerald,Rare,"€0.20","€1.25"
3,0,"Pain - Underworld Imp",002,86,Emerald,Uncommon,"€0.13","€0.20"
2,1,"Panic - Underworld Imp",002,87,Emerald,Common,"€0.11","€0.23"
2,0,"Pete - Bad Guy",002,88,Emerald,Rare,"€0.12","€0.89"
0,0,"Prince John - Greediest of All",002,89,Emerald,Rare,"€2.85","€6.03"
4,0,"Queen of Hearts - Quick-Tempered",002,90,Emerald,Common,"€0.11","€0.20"
3,1,"Ratigan - Criminal Mastermind",002,91,Emerald,Common,"€0.11","€0.12"
3,0,"Ray - Easygoing Firefly",002,92,Emerald,Common,"€0.11","€0.20"
